Function/Feature ID,Case ID,Test case name,Test step,Expected Result (ER),Actual Result,Status,Tester,Tested Date,Remark
UC04,UI05,"Verify ""Quick Access"" (Navigation)","1. Open the Bookmark list.
2. Click on the title of a bookmarked document.","1. The system navigates the user to the document view for that specific file.
2. The document opens successfully.",,,Danh,,
UC04,UI06,Verify Data Integrity (Newly Added),"1. Navigate to a document that is NOT bookmarked.
2. Add it to bookmarks.
3. Click the Bookmark button in the sidebar.",1. The newly added document appears at the top (or in the correct sort order) of the bookmark list immediately.,,,Danh,,
UC04,UI07,Verify Data Integrity (After Removal),"1. Open the Bookmark list.
2. Remove a bookmark (via context menu or document view).
3. Close and re-open the Bookmark list (or refresh).",1. The removed document is no longer visible in the Bookmark list.,,,Danh,,
UC04,UI08,Verify Persistence after Logout,"1. View Bookmark list to confirm items exist.
2. Log out of the system.
3. Log back in.
4. Click the Bookmark button.",1. The list displays the exact same documents as before the logout. Data is persistent.,,,Danh,,
UC04,UI09,Verify User Isolation (Privacy),"1. Log in as User A and bookmark ""Document X"".
2. Log out and log in as User B.
3. Click the Bookmark button.","1. User B does NOT see ""Document X"" in their list (unless User B explicitly bookmarked it themselves). The list is unique to the user.",,,Danh,,
UC04,UI10,Verify Large List Handling (UI Stability),"1. Ensure the user has a large number of bookmarks (e.g., 20+).
2. Click the Bookmark button.
3. Scroll through the list.","1. The list loads within a reasonable time.
2. A scrollbar appears, and the layout does not break. All items are accessible.",,,Danh,,
Function 05: Use Case Filtering Documents (By search bar),,,,,,,,,
UC05,UI01,UI01 – Search with a keyword that has matching documents,1. Ensure the user is logged in and is on the Markdown editor screen with a list of documents.2. Enter a keyword such as “design” (or any keyword that is known to appear in the title/content of at least one document).3. Press Enter or click the Search icon.,"1. The system queries document titles and content using the keyword.2. A list of matching documents is displayed (at least one document), clearly showing the title (and content snippet if available).3. Documents that do not match the keyword are not shown in the list.",,,Danh,,
UC05,UI02,UI02 – Search with a keyword that has no matching documents,1. Ensure the user is logged in and is on the Markdown editor screen.2. Enter a keyword that does not exist in any document title/content (for example: “xyz123@@@”).3. Press Enter or click the Search icon.,1. The system queries document titles and content using the keyword.2. No documents are displayed in the list.3. The message “No results found.” is clearly displayed to the user.,,,Danh,,
UC05,UI03,UI03 – Search with empty keyword,1. Ensure the user is logged in and is on the Markdown editor screen.2. Leave the search box empty (do not type any character).3. Press Enter or click the Search icon.,"1. The system does not execute a search with an empty keyword.2. The application remains stable and does not crash.3. An error or warning message is shown asking the user to enter a search term (e.g., “Please enter a search term.”), or the current document list remains unchanged.",,,Danh,,
UC05,UI04,UI04 – Search should match in both title and content,1. Ensure the user is logged in and is on the Markdown editor screen.2. Identify a document where the keyword appears only in the content and not in the title.3. Enter that keyword in the search box.4. Press Enter or click the Search icon.,1. The system queries both document titles and document content.2. The document that contains the keyword only in its content is still displayed in the result list.3. Documents that do not contain the keyword in either title or content are not shown.,,,Danh,,
UC05,UI05,UI05 – Search is case-insensitive,"1. Ensure the user is logged in and is on the Markdown editor screen.2. Identify a document containing the keyword “Design” (e.g., “System Design”) in its title or content.3. Enter the keyword using different letter cases, for example “design” and “DESIGN”.4. Press Enter or click the Search icon for each variant.","1. The system treats the search as case-insensitive.2. Documents containing “Design”, “design”, “DESIGN”, etc. are all returned in the same way.3. The search result does not change only because of different letter casing.",,,Danh,,
UC05,UI06,UI06 – Search with leading and trailing spaces,"1. Ensure the user is logged in and is on the Markdown editor screen.2. Enter a keyword that exists, but with spaces around it, e.g., “ design ”.3. Press Enter or click the Search icon.",1. The system trims leading and trailing spaces from the search keyword.2. The result list is the same as when searching for “design” without spaces.3. No error or unexpected behavior occurs because of the extra spaces.,,,Danh,,
UC05,UI07,UI07 – Search with multiple-word phrase,1. Ensure the user is logged in and is on the Markdown editor screen.2. Identify a document whose title or content contains the phrase “system design”.3. Enter “system design” into the search box.4. Press Enter or click the Search icon.,1. The system treats the whole input as a search phrase.2. Documents that contain the phrase “system design” in their title or content are displayed in the result list.3. Documents that do not contain the full phrase are not shown.,,,Danh,,
UC05,UI08,UI08 – Search with special characters,"1. Ensure the user is logged in and is on the Markdown editor screen.2. Identify a document whose title or content contains a term with special characters, e.g., “C++” or “Node.js”.3. Enter “C++” (or the chosen term) into the search box.4. Press Enter or click the Search icon.","1. The system correctly handles special characters in the search keyword.2. Documents containing the term with special characters (e.g., “C++”) are returned in the result list.3. No error, crash, or invalid query message occurs because of the special characters.",,,Danh,,
UC05,UI09,UI09 – Search with Unicode / accented characters,"1. Ensure the user is logged in and is on the Markdown editor screen.2. Identify a document with a Vietnamese title or content containing a word with accents, e.g., “tài liệu”.3. Enter “tài liệu” into the search box.4. Press Enter or click the Search icon.","1. The system supports Unicode input in the search box.2. Documents whose titles or contents contain the accented word (e.g., “tài liệu”) are correctly displayed in the result list.3. No encoding or display issues occur for accented characters.",,,Danh,,
UC05,UI10,UI10 – Search performance under normal load,"1. Ensure the user is logged in and the system has a realistic number of documents (e.g., several hundred or more).2. Enter a common keyword into the search box.3. Press Enter or click the Search icon.4. Measure the time from submitting the search to results being fully displayed.","1. The system returns and renders the search results list within an acceptable response time (e.g., ≤ 2 seconds) under normal load.2. The UI remains responsive while the search is being processed.3. No timeout, freeze, or “not responding” behavior occurs during the search operation.",,,Danh,,
